11904.242 0			            1.7264879e-05	0		    0		      0.00048047308  0		       0.0001748388	  0.0025237214  0
11906.26  0			            4.038974e-05	0		    0		      0.0007785181   0		       0.0001748388	  0.0025237214  0
11908.278 0			            8.0033551e-05	0		    0		      0.0011389719   0		       0.0001748388	  0.0025237214  0
11910.296 0			            0.0001402855	0		    0		      0.0015485332   0		       0.0001748388	  0.0025237214  0
11912.314 0			            0.00022114678	0		    0		      0.001989349    0		       0.0001748388	  0.0025237214  0
11914.332 0			            0.00032261931	0		    0		      0.0024388493   0		       0.0001748388	  0.0025237214  0
11916.35  0			            0.00044470376	0		    0		      0.0028787549   -6.2211726e-07    0.0001748388	  0.0025237214  0
11918.368 0			            0.00058740012	0		    0		      0.0032911292   -4.9894882e-06    0.0001748388	  0.0025237214  0
11920.386 0			            0.00075058942	0		    0		      0.0036626568   -1.7480607e-05    0.0001748388	  0.0025237214  0
11922.404 0			            0.00093010506	-2.8268452e-07      0		      0.0039656879   -4.3634891e-05    0.0001748388	  0.0025237214  -2.8268452e-07
11924.422 0			            0.0011218963	-1.9833413e-06      0		      0.0041506917   -9.3716463e-05    0.0001748388	  0.0025237214  -1.9833413e-06
11926.44  0			            0.0013239158	-5.9550295e-06      0		      0.0041925229   -0.0001766555     0.0001748388	  0.0025237214  -5.9550295e-06
11928.458 0			            0.0015255387	-1.3859557e-05      0		      0.0040903345   -0.00029227424    0.0001748388	  0.0025237214  -1.3859557e-05
11930.476 0			            0.0017145717	-2.8696346e-05      0		      0.0038338788   -0.00043619126    0.0001748388	  0.0025237214  -2.8696346e-05
11932.494 0			            0.0018874004	-5.1802759e-05      0		      0.0034363511   -0.00060286537    0.0001748388	  0.0025237214  -5.1802759e-05
11934.512 0			            0.0020390362	-8.3178145e-05      0		      0.0029457588   -0.00078203428    0.0001748388	  0.0025237214  -8.3178145e-05
11936.53  0			            0.0021636725	-0.00012282174      0		      0.0023965952   -0.00096352717    0.0001748388	  0.0025237214  -0.00012282174
11938.548 0			            0.0022604935	-0.00017073357      0		      0.0018076335   -0.0011412773     0.0001748388	  0.0025237214  -0.00017073357
11940.566 0			            0.0023294987	-0.00022691439      0		      0.0012024298   -0.0013109073     0.0001748388	  0.0025237214  -0.00022691439
11942.584 0			            0.0023706875	-0.00029108216      0		      0.00060523349  -0.0014668814     0.0001748388	  0.0025237214  -0.00029108216
11944.602 0			            0.0023840598	-0.00036210162      0		      4.5304313e-05  -0.0015911097     0.0001748388	  0.0025237214  -0.00036210162
11946.62  0			            0.0023696158	-0.00043911968      0		      -0.00045178987 -0.0016567314     0.0001748388	  0.0025237214  -0.00043911968
11948.638 0			            0.0023318448	-0.00052047461      0		      -0.00086729189 -0.0016498057     0.0001748388	  0.0025237214  -0.00052047461
11950.656 0			            0.0022788509	-0.00059961387      0		      -0.0011777723  -0.0015490361     0.0001748388	  0.0025237214  -0.00059961387
11952.674 0			            0.0022142457	-0.00067061245      0		      -0.0013787881  -0.0013183526     0.0001748388	  0.0025237214  -0.00067061245
11954.692 0			            0.0021430115	-0.0007316494	    0		      -0.0014967727  -0.00095589311    0.0001748388	  0.0025237214  -0.0007316494
11956.71  0			            0.0020709035	-0.00077288656      0		      -0.0015596373  -0.00048909461    0.0001748388	  0.0025237214  -0.00077288656
